Accession,Character,Source
EPI2856742,4,Aves
EPI1942304,2,Anseriformes
EPI3433682,6,Artiodactyla
EPI1958113,A,Galliformes
EPI1932174,A,Galliformes
EPI3304696,4,Aves
EPI1988977,2,Anseriformes
EPI2260614,4,Aves
EPI2856583,4,Aves
EPI3210154,4,Aves
EPI2815290,4,Aves
EPI2232954,A,Galliformes
EPI2705420,2,Anseriformes
EPI3631406,4,Aves
EPI2109843,4,Aves
EPI2017778,4,Aves
EPI3447112,4,Aves
EPI3508836,6,Artiodactyla
EPI3054188,2,Anseriformes
EPI2868681,4,Aves
EPI3543974,4,Aves
EPI3509631,4,Aves
EPI2603396,4,Aves
EPI3412456,6,Artiodactyla
EPI2666791,4,Aves
EPI2958934,2,Anseriformes
EPI3630905,6,Artiodactyla
EPI2712233,4,Aves
EPI1994482,4,Aves
EPI3395204,4,Aves
EPI2158688,A,Galliformes
EPI1946311,A,Galliformes
EPI1924796,2,Anseriformes
EPI3308376,4,Aves
EPI2461813,4,Aves
EPI2429117,4,Aves
EPI3310700,4,Aves
EPI704002,2,Anseriformes
EPI2855949,4,Aves
EPI3631399,4,Aves
EPI2873429,4,Aves
EPI2008101,A,Galliformes
EPI3316839,4,Aves
EPI1930827,A,Galliformes
EPI2578092,5,Charadriiformes
EPI1970432,2,Anseriformes
EPI1958105,A,Galliformes
EPI2747770,2,Anseriformes
EPI3411345,A,Galliformes
EPI2071456,A,Galliformes
EPI2885456,A,Galliformes
EPI3571334,6,Artiodactyla
EPI3323237,2,Anseriformes
EPI1922925,2,Anseriformes
EPI2278305,4,Aves
EPI3305504,4,Aves
EPI2246816,4,Aves
EPI2069014,4,Aves
EPI2616104,4,Aves
EPI2905974,4,Aves
EPI2666744,4,Aves
EPI3323496,5,Charadriiformes
EPI2259439,4,Aves
EPI2132564,4,Aves
EPI2259167,4,Aves
EPI2429103,4,Aves
EPI2931706,A,Galliformes
EPI3324027,5,Charadriiformes
EPI2067115,4,Aves
EPI2071264,0,Accipitriformes
EPI2536734,2,Anseriformes
EPI3574968,6,Artiodactyla
EPI2856827,4,Aves
EPI3622096,A,Galliformes
EPI2573925,4,Aves
EPI2691670,4,Aves
EPI3320749,4,Aves
EPI2671582,4,Aves
EPI3236201,A,Galliformes
EPI2071224,2,Anseriformes
EPI3091438,A,Galliformes
EPI3395124,4,Aves
EPI2325584,2,Anseriformes
EPI3307762,4,Aves
EPI3304408,4,Aves
EPI2648143,2,Anseriformes
EPI2427911,4,Aves
EPI2129748,4,Aves
EPI2609177,A,Galliformes
EPI2259095,4,Aves
EPI2131905,9,Suliformes
EPI3648475,6,Artiodactyla
EPI2648174,2,Anseriformes
EPI3311858,4,Aves
EPI3313178,4,Aves
EPI2609449,2,Anseriformes
EPI2100207,2,Anseriformes
EPI2198788,4,Aves
EPI3312690,4,Aves
EPI2053792,4,Aves
EPI1158808,A,Galliformes
EPI1998274,A,Galliformes
EPI2198412,A,Galliformes
EPI3462197,4,Aves
EPI2475182,4,Aves
EPI2310178,4,Aves
EPI1925548,2,Anseriformes
EPI3308608,4,Aves
EPI3307938,4,Aves
EPI2885978,D,Corvidae
EPI2259319,M,mammal
EPI2648215,5,Charadriiformes
EPI3310740,4,Aves
EPI2752144,A,Galliformes
EPI3091470,A,Galliformes
EPI2179890,4,Aves
EPI2708420,0,Accipitriformes
EPI2132827,2,Anseriformes
EPI2930837,A,Galliformes
EPI3395339,2,Anseriformes
EPI3303522,4,Aves
EPI2614655,4,Aves
EPI2264179,4,Aves
EPI2455058,J,Primates
EPI2559631,5,Charadriiformes
EPI2760366,5,Charadriiformes
EPI3543990,4,Aves
EPI2220386,4,Aves
EPI1995629,4,Aves
EPI2579791,H,Falconiformes
EPI3304944,4,Aves
EPI2702623,2,Anseriformes
EPI3571222,6,Artiodactyla
EPI1937655,2,Anseriformes
EPI2427963,4,Aves
EPI2973649,4,Aves
EPI2613926,4,Aves
EPI3625281,6,Artiodactyla
EPI3182958,4,Aves
EPI3323913,2,Anseriformes
EPI3040966,4,Aves
EPI3305008,4,Aves
EPI2214487,4,Aves
EPI3627199,A,Galliformes
EPI2613550,4,Aves
EPI3302826,4,Aves
EPI2071360,A,Galliformes
EPI2665253,4,Aves
EPI3316167,4,Aves
EPI3403634,4,Aves
EPI2559927,2,Anseriformes
EPI2913205,A,Galliformes
EPI3559880,2,Anseriformes
EPI2666779,4,Aves
EPI2141051,A,Galliformes
EPI3395164,4,Aves
EPI3490733,4,Aves
EPI2428740,4,Aves
EPI2613718,4,Aves
EPI3526793,4,Aves
EPI2613942,4,Aves
EPI1941530,2,Anseriformes
EPI1997961,4,Aves
EPI2895431,4,Aves
EPI3306233,4,Aves
EPI1859811,2,Anseriformes
EPI2428581,4,Aves
EPI3323926,2,Anseriformes
EPI3299020,4,Aves
EPI2752136,A,Galliformes
EPI2015017,4,Aves
EPI2246984,A,Galliformes
EPI3323979,2,Anseriformes
EPI2050760,4,Aves
EPI3309688,4,Aves
EPI2906046,4,Aves
EPI2310516,5,Charadriiformes
EPI2428058,4,Aves
EPI2780125,4,Aves
EPI3310126,4,Aves
EPI2794533,H,Falconiformes
EPI3260253,2,Anseriformes
EPI3555255,A,Galliformes
EPI1966001,A,Galliformes
EPI2161516,A,Galliformes
EPI3311186,4,Aves
EPI2021095,2,Anseriformes
EPI2311319,0,Accipitriformes
EPI2178766,2,Anseriformes
EPI2198452,A,Galliformes
EPI2310680,2,Anseriformes
EPI3567183,4,Aves
EPI2708746,4,Aves
EPI2906334,4,Aves
EPI3084985,A,Galliformes
EPI2110485,8,Carnivora
EPI2236517,M,mammal
EPI2181344,4,Aves
EPI2264195,4,Aves
EPI2560103,4,Aves
EPI506461,A,Galliformes
EPI2800250,2,Anseriformes
EPI2856150,4,Aves
EPI2131848,5,Charadriiformes
EPI2711184,2,Anseriformes
EPI1924123,2,Anseriformes
EPI2702598,2,Anseriformes
EPI2560135,2,Anseriformes
EPI2351916,4,Aves
EPI2351619,5,Charadriiformes
EPI2236712,M,mammal
EPI3631024,6,Artiodactyla
EPI2437523,A,Galliformes
EPI2708717,0,Accipitriformes
EPI2550371,A,Galliformes
EPI3255801,2,Anseriformes
EPI3314602,4,Aves
EPI1990448,4,Aves
EPI2506284,A,Galliformes
EPI3308600,4,Aves
EPI3306619,4,Aves
EPI2181723,5,Charadriiformes
EPI3304200,4,Aves
EPI2708095,4,Aves
EPI3302594,4,Aves
EPI3641366,J,Primates
EPI3314370,4,Aves
EPI2705245,2,Anseriformes
EPI2614598,4,Aves
EPI2712807,2,Anseriformes
EPI2428670,4,Aves
EPI3395435,2,Anseriformes
EPI3305296,4,Aves
EPI1998009,A,Galliformes
EPI2614254,4,Aves
EPI2318026,5,Charadriiformes
EPI2413843,2,Anseriformes
EPI3351134,4,Aves
EPI3261659,6,Artiodactyla
EPI1896085,A,Galliformes
EPI3314728,4,Aves
EPI2745242,M,mammal
EPI2586381,M,mammal
EPI2648239,5,Charadriiformes
EPI2703242,4,Aves
EPI2053431,4,Aves
EPI2384290,4,Aves
EPI2886329,D,Corvidae
EPI2235560,M,mammal
EPI2428207,4,Aves
EPI2644761,4,Aves
EPI2873755,4,Aves
EPI2537020,5,Charadriiformes
EPI2243672,4,Aves
EPI2162145,A,Galliformes
EPI2870258,4,Aves
EPI2258911,M,mammal
EPI2606579,A,Galliformes
EPI2648190,A,Galliformes
EPI2505464,2,Anseriformes
EPI3310428,4,Aves
EPI2131889,5,Charadriiformes
EPI1980940,5,Charadriiformes
EPI2652335,2,Anseriformes
EPI3222864,2,Anseriformes
EPI2573872,2,Anseriformes
EPI2244170,4,Aves
EPI2071680,A,Galliformes
EPI2179732,4,Aves
EPI3442791,6,Artiodactyla
EPI2456495,0,Accipitriformes
EPI2930821,A,Galliformes
EPI2072088,A,Galliformes
EPI2998349,5,Charadriiformes
EPI2506466,A,Galliformes
EPI2784330,4,Aves
EPI3409998,6,Artiodactyla
EPI3558280,4,Aves
EPI2240734,4,Aves
EPI3484716,4,Aves
EPI2140808,4,Aves
EPI3338005,F,Environment
EPI2070225,4,Aves
EPI3306273,4,Aves
EPI2766638,4,Aves
EPI2088934,4,Aves
EPI2105526,4,Aves
EPI2428053,4,Aves
EPI2008870,2,Anseriformes
EPI3631235,6,Artiodactyla
EPI2473760,M,mammal
EPI2100199,4,Aves
EPI3528034,4,Aves
EPI2198852,2,Anseriformes
EPI2247956,2,Anseriformes
EPI2197461,J,Primates
EPI2071256,A,Galliformes
EPI3292966,4,Aves
EPI2437334,A,Galliformes
EPI3310324,4,Aves
EPI3312554,4,Aves
EPI2635279,H,Falconiformes
EPI3304088,4,Aves
EPI2576630,2,Anseriformes
EPI1882784,2,Anseriformes
EPI3575282,6,Artiodactyla
EPI2029051,4,Aves
EPI2856157,M,mammal
EPI2613974,4,Aves
EPI2131809,5,Charadriiformes
EPI3649046,6,Artiodactyla
EPI2182055,4,Aves
EPI3316551,M,mammal
EPI1947444,A,Galliformes
EPI2913222,Q,Sphenisciformes
EPI2071672,2,Anseriformes
EPI2648218,5,Charadriiformes
EPI2712658,2,Anseriformes
EPI2403521,A,Galliformes
EPI2998333,2,Anseriformes
EPI2578068,A,Galliformes
EPI3584506,5,Charadriiformes
EPI2416946,?,Galliformes
EPI2555081,4,Aves
EPI2711665,4,Aves
EPI2943337,4,Aves
EPI1998266,A,Galliformes
EPI2751636,A,Galliformes
EPI476483,A,Galliformes
EPI2139856,A,Galliformes
EPI3316079,4,Aves
EPI2075634,2,Anseriformes
EPI1838697,2,Anseriformes
EPI3323544,5,Charadriiformes
EPI3053099,2,Anseriformes
EPI2564328,4,Aves
EPI895430,6,Artiodactyla
EPI1930043,2,Anseriformes
EPI2745234,M,mammal
EPI3280369,2,Anseriformes
EPI2702634,2,Anseriformes
EPI2691213,4,Aves
EPI2244367,4,Aves
EPI3416741,4,Aves
EPI2614030,4,Aves
EPI2235576,M,mammal
EPI2779186,5,Charadriiformes
EPI3317076,6,Artiodactyla
EPI2185376,4,Aves
EPI3412653,6,Artiodactyla
EPI1994334,5,Charadriiformes
EPI2102562,A,Galliformes
EPI2076357,4,Aves
EPI2147719,?,Galliformes
EPI2703320,2,Anseriformes
EPI2751188,A,Galliformes
EPI3584577,5,Charadriiformes
EPI3584514,5,Charadriiformes
EPI3418148,6,Artiodactyla
EPI1928772,A,Galliformes
EPI2614070,4,Aves
EPI3308416,4,Aves
EPI2855847,4,Aves
EPI2611983,5,Charadriiformes
EPI2794184,4,Aves
EPI3305704,4,Aves
EPI2589251,2,Anseriformes
EPI3630842,A,Galliformes
EPI3433583,6,Artiodactyla
EPI3571302,6,Artiodactyla
EPI3050238,2,Anseriformes
EPI2278289,4,Aves
EPI2635249,A,Galliformes
EPI3630679,6,Artiodactyla
EPI2603848,4,Aves
EPI3575435,6,Artiodactyla
EPI2428475,4,Aves
EPI3323993,2,Anseriformes
EPI2857189,4,Aves
EPI2784295,4,Aves
EPI2708308,4,Aves
EPI2892391,4,Aves
EPI2799824,2,Anseriformes
EPI1963032,A,Galliformes
EPI2603493,4,Aves
EPI2671336,4,Aves
EPI3304036,4,Aves
EPI2707800,0,Accipitriformes
EPI2742523,4,Aves
EPI2311303,5,Charadriiformes
EPI3303458,4,Aves
EPI2506574,4,Aves
EPI3067681,A,Galliformes
EPI3280417,2,Anseriformes
EPI2930897,2,Anseriformes
EPI2198764,4,Aves
EPI2129816,M,mammal
EPI2626196,4,Aves
EPI3649286,6,Artiodactyla
EPI3261643,6,Artiodactyla
EPI2742987,4,Aves
EPI3315608,4,Aves
EPI3303330,4,Aves
EPI2071088,2,Anseriformes
EPI3484668,4,Aves
EPI2885226,A,Galliformes
EPI2671502,4,Aves
EPI2300737,2,Anseriformes
EPI2560287,A,Galliformes
EPI2893355,4,Aves
EPI2197776,2,Anseriformes
EPI2109887,A,Galliformes
EPI3302858,4,Aves
EPI2278145,4,Aves
EPI3502128,4,Aves
EPI2550125,A,Galliformes
EPI2702755,2,Anseriformes
EPI3313522,4,Aves
EPI2744830,4,Aves
EPI3143500,4,Aves
EPI3527041,4,Aves
EPI3310040,4,Aves
EPI1198864,2,Anseriformes
EPI2971821,F,Environment
EPI2751436,A,Galliformes
EPI2770692,4,Aves
EPI2053889,M,mammal
EPI2856574,4,Aves
EPI3490742,4,Aves
EPI2578739,2,Anseriformes
EPI2960205,4,Aves
EPI2747778,A,Galliformes
EPI2957683,4,Aves
EPI2576654,4,Aves
EPI2899574,4,Aves
EPI3255793,2,Anseriformes
EPI2002649,A,Galliformes
EPI3309464,4,Aves
EPI2709017,0,Accipitriformes
EPI3462921,6,Artiodactyla
EPI2856020,4,Aves
EPI2882862,2,Anseriformes
EPI1944477,A,Galliformes
EPI3323464,0,Accipitriformes
EPI2291603,4,Aves
EPI2297256,8,Carnivora
EPI2475157,4,Aves
EPI2707958,0,Accipitriformes
EPI1994506,2,Anseriformes
EPI2193419,4,Aves
EPI2398403,8,Carnivora
EPI1994989,4,Aves
EPI2258671,4,Aves
EPI1945171,2,Anseriformes
EPI3412409,6,Artiodactyla
EPI2213709,4,Aves
EPI2670313,4,Aves
EPI3604783,4,Aves
EPI2582781,4,Aves
EPI2666720,4,Aves
EPI2311367,D,Corvidae
EPI3418626,6,Artiodactyla
EPI2428243,4,Aves
EPI2665419,4,Aves
EPI2609474,A,Galliformes
EPI3409069,6,Artiodactyla
EPI3549620,M,mammal
EPI2872768,A,Galliformes
EPI2856231,4,Aves
EPI2506504,2,Anseriformes
EPI2648221,5,Charadriiformes
EPI2613758,4,Aves
EPI2198660,A,Galliformes
EPI2536857,A,Galliformes
EPI3625386,6,Artiodactyla
EPI590109,A,Galliformes
EPI2475281,4,Aves
EPI3631367,4,Aves
EPI2536839,M,mammal
EPI2704205,2,Anseriformes
EPI2246520,4,Aves
EPI2540448,4,Aves
EPI2497121,4,Aves
EPI2506450,A,Galliformes
EPI3308098,4,Aves
EPI3017891,A,Galliformes
EPI2150643,4,Aves
EPI2820653,4,Aves
EPI1946303,A,Galliformes
EPI2872909,A,Galliformes
EPI2015061,5,Charadriiformes
EPI2856306,4,Aves
EPI2745860,3,Animal
EPI2437152,A,Galliformes
EPI2072328,2,Anseriformes
EPI2263554,4,Aves
EPI2475293,A,Galliformes
EPI3648687,6,Artiodactyla
EPI2526561,5,Charadriiformes
EPI3183472,2,Anseriformes
EPI2711438,2,Anseriformes
EPI3236209,4,Aves
EPI3315424,4,Aves
EPI2755506,M,mammal
EPI2487389,4,Aves
EPI2264267,4,Aves
EPI2649359,8,Carnivora
EPI3138103,A,Galliformes
EPI3311138,4,Aves
EPI2820565,4,Aves
EPI3487673,6,Artiodactyla
EPI3316431,4,Aves
EPI3179908,4,Aves
EPI3304160,4,Aves
EPI2179764,4,Aves
EPI3575043,6,Artiodactyla
EPI3320773,4,Aves
EPI3571254,6,Artiodactyla
EPI3630767,6,Artiodactyla
EPI3637596,2,Anseriformes
EPI3312330,4,Aves
EPI2856766,4,Aves
EPI2428315,4,Aves
EPI1198856,A,Galliformes
EPI1943846,2,Anseriformes
EPI3093191,2,Anseriformes
EPI2752128,A,Galliformes
EPI2416426,4,Aves
EPI2758912,A,Galliformes
EPI2702273,2,Anseriformes
EPI2957735,2,Anseriformes
EPI1946383,2,Anseriformes
EPI2068993,0,Accipitriformes
EPI2770855,3,Animal
EPI2712685,4,Aves
EPI2179692,4,Aves
EPI3052604,4,Aves
EPI472218,A,Galliformes
EPI2873810,4,Aves
EPI2856029,4,Aves
EPI3260229,2,Anseriformes
EPI2559967,5,Charadriiformes
EPI3604382,6,Artiodactyla
EPI3307181,4,Aves
EPI3408951,A,Galliformes
EPI2856227,M,mammal
EPI2906843,A,Galliformes
EPI1956834,A,Galliformes
EPI3574912,6,Artiodactyla
EPI3314760,4,Aves
EPI3316895,4,Aves
EPI2070070,2,Anseriformes
EPI3323957,5,Charadriiformes
EPI3317372,6,Artiodactyla
EPI2427810,4,Aves
EPI2246720,4,Aves
EPI2711181,5,Charadriiformes
EPI2428363,4,Aves
EPI2259603,A,Galliformes
EPI3310016,4,Aves
EPI3260122,4,Aves
EPI2671655,4,Aves
EPI3307315,4,Aves
EPI2197224,M,mammal
EPI2437531,A,Galliformes
EPI3488307,5,Charadriiformes
EPI3622187,2,Anseriformes
EPI3008291,4,Aves
EPI2909429,2,Anseriformes
EPI2015033,2,Anseriformes
EPI3307229,4,Aves
EPI2639803,4,Aves
EPI2246736,4,Aves
EPI2487031,H,Falconiformes
EPI1995172,4,Aves
EPI2260782,4,Aves
EPI3299196,4,Aves
EPI2751428,A,Galliformes
EPI2141077,A,Galliformes
EPI3183424,A,Galliformes
EPI2246993,A,Galliformes
EPI2258799,4,Aves
EPI2260806,4,Aves
EPI2398411,8,Carnivora
EPI3302978,4,Aves
EPI2764278,2,Anseriformes
EPI3324601,4,Aves
EPI2703420,2,Anseriformes
EPI2429056,4,Aves
EPI2639875,4,Aves
EPI2705182,2,Anseriformes
EPI2306573,A,Galliformes
EPI2310428,8,Carnivora
EPI3447909,5,Charadriiformes
EPI2704012,4,Aves
EPI2420127,4,Aves
EPI2306701,A,Galliformes
EPI3509703,4,Aves
EPI2810206,A,Galliformes
EPI3306425,4,Aves
EPI3316327,4,Aves
EPI2540496,4,Aves
EPI1943098,0,Accipitriformes
EPI2635196,4,Aves
EPI2800369,A,Galliformes
EPI2495633,A,Galliformes
EPI3605307,4,Aves
EPI2742475,4,Aves
EPI2712759,2,Anseriformes
EPI2415390,5,Charadriiformes
EPI2176416,2,Anseriformes
EPI2475174,4,Aves
EPI2088966,4,Aves
EPI2207118,2,Anseriformes
EPI2755765,4,Aves
EPI3306225,4,Aves
EPI3630727,A,Galliformes
EPI2232922,2,Anseriformes
EPI2182095,M,mammal
EPI2872513,A,Galliformes
EPI3311562,4,Aves
EPI3315872,4,Aves
EPI2792251,5,Charadriiformes
EPI2702164,2,Anseriformes
EPI3461376,8,Carnivora
EPI2232914,A,Galliformes
EPI2456479,?,Galliformes
EPI2585292,M,mammal
EPI3299076,4,Aves
EPI2505907,4,Aves
EPI3591170,5,Charadriiformes
EPI3311511,4,Aves
EPI2024067,4,Aves
EPI2179676,4,Aves
EPI2077983,5,Charadriiformes
EPI2637553,4,Aves
EPI3590964,2,Anseriformes
EPI2708425,4,Aves
EPI3311210,4,Aves
EPI1966970,4,Aves
EPI1937671,2,Anseriformes
EPI3303066,4,Aves
EPI1997977,4,Aves
EPI2868769,4,Aves
EPI2872962,A,Galliformes
EPI2050822,4,Aves
EPI2232906,A,Galliformes
EPI2461820,4,Aves
EPI2574094,4,Aves
EPI2614606,4,Aves
EPI2708020,0,Accipitriformes
EPI2780666,4,Aves
EPI2428030,4,Aves
EPI2770903,3,Animal
EPI3343250,2,Anseriformes
EPI3433706,6,Artiodactyla
EPI2711988,2,Anseriformes
EPI2744778,5,Charadriiformes
EPI2705134,2,Anseriformes
EPI2603372,4,Aves
EPI3592937,M,mammal
EPI2141743,4,Aves
EPI2191157,4,Aves
EPI3312930,M,mammal
EPI2150862,4,Aves
EPI2751348,A,Galliformes
EPI2639827,4,Aves
EPI3304228,4,Aves
EPI2167230,5,Charadriiformes
EPI3302738,4,Aves
EPI2664918,5,Charadriiformes
EPI3488379,5,Charadriiformes
EPI2885533,A,Galliformes
EPI2263979,4,Aves
EPI3409592,6,Artiodactyla
EPI1966229,2,Anseriformes
EPI2742763,F,Environment
EPI2456222,2,Anseriformes
EPI3528306,4,Aves
EPI3309096,4,Aves
EPI3311226,4,Aves
EPI2029890,2,Anseriformes
EPI2428770,4,Aves
EPI2705587,2,Anseriformes
EPI2671574,4,Aves
EPI3208195,8,Carnivora
EPI3298588,4,Aves
EPI2886337,D,Corvidae
EPI2318017,4,Aves
EPI2381001,4,Aves
EPI2869828,4,Aves
EPI2666919,4,Aves
EPI3310914,4,Aves
EPI3555231,A,Galliformes
EPI3614259,5,Charadriiformes
EPI2648237,5,Charadriiformes
EPI2576638,4,Aves
EPI2820589,2,Anseriformes
EPI2666847,A,Galliformes
EPI2468404,8,Carnivora
EPI2706704,A,Galliformes
EPI3543766,4,Aves
EPI3630976,6,Artiodactyla
EPI2609493,4,Aves
EPI2141840,A,Galliformes
EPI3313010,4,Aves
EPI2744854,2,Anseriformes
EPI2667020,4,Aves
EPI2506426,A,Galliformes
EPI2998357,2,Anseriformes
EPI2609395,A,Galliformes
EPI3484779,4,Aves
EPI3052894,2,Anseriformes
EPI2260598,4,Aves
EPI2114066,4,Aves
EPI3488251,2,Anseriformes
EPI2246096,4,Aves
EPI1928247,2,Anseriformes
EPI2455212,4,Aves
EPI1945235,2,Anseriformes
EPI3313114,4,Aves
EPI2780682,4,Aves
EPI2759067,4,Aves
EPI3555259,A,Galliformes
EPI3597147,A,Galliformes
EPI2577988,5,Charadriiformes
EPI2536972,5,Charadriiformes
EPI2427947,4,Aves
EPI2298229,4,Aves
EPI2412727,2,Anseriformes
EPI284577,4,Aves
EPI3591012,5,Charadriiformes
EPI184214,2,Anseriformes
EPI3314752,4,Aves
EPI3528018,4,Aves
EPI2856071,4,Aves
EPI3139873,2,Anseriformes
EPI895432,6,Artiodactyla
EPI2817719,4,Aves
EPI3259889,6,Artiodactyla
EPI2641503,4,Aves
EPI2666980,2,Anseriformes
EPI2247300,4,Aves
EPI2760740,4,Aves
EPI2042034,A,Galliformes
EPI3484585,4,Aves
EPI2702338,2,Anseriformes
EPI2232650,A,Galliformes
EPI3604735,4,Aves
EPI3040930,4,Aves
EPI3305568,4,Aves
EPI2397300,?,Galliformes
EPI2540440,4,Aves
EPI184215,2,Anseriformes
EPI2182119,M,mammal
EPI2220290,2,Anseriformes
EPI2702254,2,Anseriformes
EPI2141199,A,Galliformes
EPI2998377,4,Aves
EPI3411978,6,Artiodactyla
EPI2419638,J,Primates
EPI3355307,A,Galliformes
EPI2856255,4,Aves
EPI3298372,4,Aves
EPI2264275,A,Galliformes
EPI2062124,2,Anseriformes
EPI3528194,4,Aves
EPI3571162,C,Passeriformes
EPI2841125,4,Aves
EPI3303258,4,Aves
EPI895434,6,Artiodactyla
EPI2560095,4,Aves
EPI1847708,2,Anseriformes
EPI1945389,4,Aves
EPI3649164,6,Artiodactyla
EPI2176144,A,Galliformes
EPI3315008,4,Aves
EPI3315040,4,Aves
EPI2223241,4,Aves
EPI2708457,4,Aves
EPI3316031,4,Aves
EPI3303842,4,Aves
EPI2648233,5,Charadriiformes
EPI2428809,4,Aves
EPI3303082,4,Aves
EPI3312090,4,Aves
EPI2712901,4,Aves
EPI2815287,4,Aves
EPI3260326,0,Accipitriformes
EPI2412890,4,Aves
EPI2220677,4,Aves
EPI3316239,4,Aves
EPI2220322,2,Anseriformes
EPI1962097,4,Aves
EPI2579956,A,Galliformes
EPI2008854,2,Anseriformes
EPI2702950,2,Anseriformes
EPI3630956,6,Artiodactyla
EPI2703762,H,Falconiformes
EPI3313690,4,Aves
EPI1995084,2,Anseriformes
EPI2197873,4,Aves
EPI3575005,6,Artiodactyla
EPI2243464,4,Aves
EPI3308392,4,Aves
EPI3298980,4,Aves
EPI2742827,4,Aves
EPI3314050,4,Aves
EPI2708888,0,Accipitriformes
EPI3311130,4,Aves
EPI2710931,2,Anseriformes
EPI1945585,M,mammal
EPI3631008,6,Artiodactyla
EPI3158610,4,Aves
EPI590896,2,Anseriformes
EPI2614150,4,Aves
EPI3268547,4,Aves
EPI2964245,4,Aves
EPI2461828,4,Aves
EPI2506164,A,Galliformes
EPI2178111,4,Aves
EPI2139592,A,Galliformes
EPI2198868,4,Aves
EPI3316791,4,Aves
EPI2536758,4,Aves
EPI2559751,5,Charadriiformes
EPI3631359,4,Aves
EPI1957897,A,Galliformes
EPI2752104,A,Galliformes
EPI3260302,2,Anseriformes
EPI3311602,4,Aves
EPI3584598,5,Charadriiformes
EPI3274718,F,Environment
EPI2071312,2,Anseriformes
EPI2697526,5,Charadriiformes
EPI3649208,6,Artiodactyla
EPI2752048,A,Galliformes
EPI2073624,4,Aves
EPI3312946,4,Aves
EPI2264219,4,Aves
EPI3050230,2,Anseriformes
EPI2752286,2,Anseriformes
EPI3314106,4,Aves
EPI2580519,2,Anseriformes
EPI2815837,4,Aves
EPI3447144,4,Aves
EPI2461884,4,Aves
EPI2506196,A,Galliformes
EPI961384,F,Environment
EPI338791,A,Galliformes
EPI2639296,4,Aves
EPI2028661,4,Aves
EPI2712661,2,Anseriformes
EPI3312202,4,Aves
EPI2743059,4,Aves
EPI3260667,6,Artiodactyla
EPI2770975,3,Animal
EPI3630911,6,Artiodactyla
EPI2310162,5,Charadriiformes
EPI2071416,2,Anseriformes
EPI2856481,4,Aves
EPI3307087,4,Aves
EPI3260843,6,Artiodactyla
EPI2708806,4,Aves
EPI3277723,4,Aves
EPI2788382,4,Aves
EPI3410450,8,Carnivora
EPI2578076,A,Galliformes
EPI1840056,2,Anseriformes
EPI2780650,4,Aves
EPI2872879,A,Galliformes
EPI749425,F,Environment
EPI2743227,4,Aves
EPI3309120,4,Aves
EPI3280385,A,Galliformes
EPI384241,4,Aves
EPI3315552,4,Aves
EPI3626010,4,Aves
EPI3487739,6,Artiodactyla
EPI2711158,2,Anseriformes
EPI736645,A,Galliformes
EPI3255577,8,Carnivora
EPI2957685,4,Aves
EPI2613894,4,Aves
EPI2073640,4,Aves
EPI3276877,5,Charadriiformes
EPI3351150,4,Aves
EPI2429052,4,Aves
EPI2702334,2,Anseriformes
EPI2856390,4,Aves
EPI3314346,4,Aves
EPI2129878,A,Galliformes
EPI2873864,4,Aves
EPI2540784,4,Aves
EPI3305176,4,Aves
EPI2815829,4,Aves
EPI2300770,4,Aves
EPI2197857,4,Aves
EPI2770999,3,Animal
EPI3599362,6,Artiodactyla
EPI2291635,4,Aves
EPI672802,A,Galliformes
EPI2246016,4,Aves
EPI2102506,4,Aves
EPI2616198,8,Carnivora
EPI2056397,A,Galliformes
EPI3351078,4,Aves
EPI2179708,4,Aves
EPI2566519,0,Accipitriformes
EPI2603724,H,Falconiformes
EPI3041318,4,Aves
EPI3528002,4,Aves
EPI2944556,5,Charadriiformes
EPI2181507,A,Galliformes
EPI3294381,2,Anseriformes
EPI3323987,2,Anseriformes
EPI2856989,4,Aves
EPI2712612,2,Anseriformes
EPI2704741,2,Anseriformes
EPI3310086,4,Aves
EPI2784372,4,Aves
EPI2233034,A,Galliformes
EPI3409764,2,Anseriformes
EPI2219566,9,Suliformes
EPI2559775,5,Charadriiformes
EPI2702418,2,Anseriformes
EPI3314410,4,Aves
EPI3571326,6,Artiodactyla
EPI3308736,4,Aves
EPI2576462,2,Anseriformes
EPI2260566,4,Aves
EPI2751828,A,Galliformes
EPI2643197,4,Aves
EPI2429010,4,Aves
EPI3302882,4,Aves
EPI2944668,A,Galliformes
EPI2905990,4,Aves
EPI585951,A,Galliformes
EPI2150667,5,Charadriiformes
EPI3261475,2,Anseriformes
EPI2743187,4,Aves
EPI2751588,A,Galliformes
EPI2428644,4,Aves
EPI2512515,M,mammal
EPI2712397,2,Anseriformes
EPI3605467,4,Aves
EPI3411353,6,Artiodactyla
EPI3309264,4,Aves
EPI2560079,4,Aves
EPI2792259,5,Charadriiformes
EPI3555302,4,Aves
EPI3041000,5,Charadriiformes
EPI2428557,4,Aves
EPI2244210,H,Falconiformes
EPI2892573,M,mammal
EPI3489496,4,Aves
EPI3351166,4,Aves
EPI3041377,4,Aves
EPI2156389,A,Galliformes
EPI2236688,M,mammal
EPI2429219,4,Aves
EPI2820693,4,Aves
EPI2350467,A,Galliformes
EPI3508943,6,Artiodactyla
EPI3651280,A,Galliformes
EPI3604703,4,Aves
EPI3308472,4,Aves
EPI2737455,2,Anseriformes
EPI2574029,4,Aves
EPI2560111,5,Charadriiformes
EPI2639771,A,Galliformes
EPI1930824,A,Galliformes
